incident_id,date,lat,lon,city,state,address,injured,killed,child_involved,officer_involved,mass_shooting,accidental,domestic_violence,drive_by,link,year,month,total,fatal,mass,index_right,neighborhood
145003,2014-06-05,28.5014,-81.311,Orlando,Florida,4200 block of S. Semoran Boulevard,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/145003,2014,6,1,False,False,32.0,South Semoran
144997,2014-06-06,28.5327,-81.4347,Orlando,Florida,776 S Ivey Ln,1,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/144997,2014,6,2,True,False,,
146019,2014-06-10,28.596440529417656,-81.45075898951025,Orlando,Florida,North Pine Hills Road and North Lane,1,0,False,False,False,False,True,False,https://www.gunviolencearchive.org/incident/146019,2014,6,1,False,False,56.0,Signal Hill
147259,2014-06-12,28.5523,-81.4632,Orlando,Florida,West Colonial Drive,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/147259,2014,6,1,False,False,,
148030,2014-06-13,28.52288247340933,-81.39281569223836,Orlando,Florida,18th St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/148030,2014,6,1,False,False,,
148817,2014-06-17,28.54204052941766,-81.38185898951025,Orlando,Florida,West Central Boulevard and North Garland Avenue,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/148817,2014,6,2,False,False,82.0,Central Business District
149259,2014-06-18,28.5233,-81.4315,Orlando,Florida,1600 block of Crestlawn Avenue,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/149259,2014,6,1,True,False,97.0,Richmond Heights
149105,2014-06-18,28.4729,-81.4168,Orlando,Florida,6001 S John Young Pkwy,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/149105,2014,6,1,True,False,,
150479,2014-06-22,28.5538,-81.3233,Orlando,Florida,5009 E Colonial Dr,0,2,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/150479,2014,6,2,True,False,,
153122,2014-06-29,28.4364,-81.4025,Orlando,Florida,1851 W Landstreet Rd,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/153122,2014,6,2,False,False,,
153886,2014-06-29,28.6096,-81.4801,Orlando,Florida,5312 Falling Water Dr,1,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/153886,2014,6,2,True,False,,
158446,2014-07-10,28.5538,-81.2777,Orlando,Florida,800 block of North Chickasaw Trail,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/158446,2014,7,1,False,False,,
159451,2014-07-12,28.5056,-81.4061,Orlando,Florida,37th St and S Tampa Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/159451,2014,7,1,True,False,,
159449,2014-07-14,28.538240529417656,-81.34815898951025,Orlando,Florida,State Road 408,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/159449,2014,7,1,False,False,121.0,Lake Como
159858,2014-07-15,28.553,-81.3916,Orlando,Florida,Cordova Drive and Colonial Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/159858,2014,7,1,False,False,113.0,College Park
164951,2014-07-18,28.5738,-81.3729,Orlando,Florida,Orange Avenue,1,0,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/164951,2014,7,1,False,False,96.0,North Orange
169525,2014-07-18,28.5021,-81.4098,Orlando,Florida,Tymberwood Ln,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/169525,2014,7,1,True,False,,
163717,2014-07-20,28.5659,-81.5018,Orlando,Florida,Park Highland Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/163717,2014,7,1,False,False,,
164969,2014-07-24,28.5033,-81.3993,Orlando,Florida,1400 block of 39th St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/164969,2014,7,1,False,False,,
176878,2014-08-01,28.546240529417656,-81.46525898951025,Orlando,Florida,6100 block of Melbourne Avenue,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/176878,2014,8,1,True,False,,
176876,2014-08-02,28.5462,-81.4652,Orlando,Florida,6100 block of Melbourne Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/176876,2014,8,1,True,False,,
170120,2014-08-02,28.5462,-81.4662,Orlando,Florida,6130 Melbourne Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/170120,2014,8,1,True,False,,
171182,2014-08-05,28.52,-81.3992,Orlando,Florida,South Nashville Avenue,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/171182,2014,8,2,False,False,,
172093,2014-08-06,28.4952,-81.3103,Orlando,Florida,Semoran Boulevard and Gatlin Avenue,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/172093,2014,8,1,False,False,32.0,South Semoran
176848,2014-08-08,28.4894,-81.0792,Orlando,Florida,3696 Bancroft Blvd,1,2,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/176848,2014,8,3,True,False,,
178957,2014-08-17,28.4553,-81.3721,Orlando,Florida,Cherry Grove Circle,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/178957,2014,8,1,False,False,,
176970,2014-08-19,28.541,-81.3792,Orlando,Florida,118 S Orange Ave,2,1,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/176970,2014,8,3,True,False,82.0,Central Business District
180291,2014-08-21,28.540140529417656,-81.38905898951025,Orlando,Florida,200 block of South Parramore Avenue,3,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/180291,2014,8,3,False,False,66.0,Holden/Parramore
182329,2014-08-23,28.56154052941765,-81.43105898951025,Orlando,Florida,1488 North Mercy Drive,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/182329,2014,8,1,True,False,85.0,Mercy Drive
180153,2014-08-23,28.5392,-81.4334,Orlando,Florida,Ivey Lane,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/180153,2014,8,1,False,False,108.0,Malibu Groves
183746,2014-08-29,28.5164,-81.3949,Orlando,Florida,25th St,0,1,False,True,False,False,False,False,https://www.gunviolencearchive.org/incident/183746,2014,8,1,True,False,,
186037,2014-08-30,28.5395,-81.2083,Orlando,Florida,448 S Alafaya Trail,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/186037,2014,8,1,False,False,,
186030,2014-09-01,28.5809,-81.4443,Orlando,Florida,Shining Willow Trail,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/186030,2014,9,1,False,False,37.0,The Willows
188335,2014-09-03,28.5496,-81.1049,Orlando,Florida,200 block of N Co Rd 13,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/188335,2014,9,1,False,False,,
188332,2014-09-06,28.52054052941765,-81.39665898951026,Orlando,Florida,2015 Orange Blossom Trail,4,0,False,False,True,False,False,True,https://www.gunviolencearchive.org/incident/188332,2014,9,4,False,True,,
190179,2014-09-12,28.5902,-81.47,Orlando,Florida,Chalet Ct and Breezewood St,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/190179,2014,9,1,False,False,,
191870,2014-09-14,28.6056,-81.435,Orlando,Florida,Long Rd and Tony St,2,0,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/191870,2014,9,2,False,False,,
196636,2014-09-23,28.43591547208421,-81.39279010890834,Orlando,Florida,West Landstreet Road,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/196636,2014,9,1,True,False,,
196631,2014-09-25,28.5227,-81.3992,Orlando,Florida,18th St and S Nashville Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/196631,2014,9,1,True,False,,
197124,2014-09-25,28.436040529417657,-81.39285898951024,Orlando,Florida,West Landstreet Road,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/197124,2014,9,1,True,False,,
202822,2014-10-06,28.52271547208421,-81.39289010890835,Orlando,Florida,1000 block of 18th St,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/202822,2014,10,1,True,False,,
205222,2014-10-12,28.5793,-81.4593,Orlando,Florida,2700 block of Castle Oak Avenue,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/205222,2014,10,1,False,False,,
206408,2014-10-15,28.5026,-81.4036,Orlando,Florida,40th St and Ravenwood Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/206408,2014,10,1,True,False,,
211719,2014-10-15,28.4304,-81.3646,Orlando,Florida,9400 block of 5th Ave,0,2,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/211719,2014,10,2,True,False,,
207013,2014-10-16,28.5228,-81.393,Orlando,Florida,1000 block of 18th Street,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/207013,2014,10,2,False,False,,
213361,2014-10-17,28.50554052941765,-81.30805898951026,Orlando,Florida,5757 5 Flags Blvd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/213361,2014,10,1,True,False,,
